time,tau_elv_angle,tau_elbow_flex,tau0_elv_angle,tau0_elbow_flex,delta_tau_elv,delta_tau_flex,F_int_recovered
0.0,0.32919106,1.19179857,0.32919106,1.19179857,0.0,0.0,0.0
0.01,0.47603895,1.20376023,0.47418603,1.20277709,0.0018529200000000356,0.0009831399999999935,0.004156041869640791
0.02,0.62125755,1.21560779,0.61762203,1.21367889,0.003635520000000003,0.0019289000000000112,0.008154297425878745
0.03,0.76345294,1.2272236,0.75810371,1.22438531,0.005349229999999983,0.002838290000000132,0.011998218165632351
0.04,0.90158162,1.23851563,0.89458676,1.23480431,0.006994859999999936,0.0037113200000000734,0.01568924431181287
0.05,1.03497255,1.24942058,1.0263989,1.24487189,0.008573649999999988,0.004548690000000022,0.019230213506876415
0.06,1.16326854,1.25989796,1.15318293,1.25454761,0.010085609999999967,0.005350350000000059,0.0226211169933928
0.07,1.28634093,1.2699249,1.27480875,1.26380767,0.011532179999999892,0.0061172299999998625,0.025865362107531657
0.08,1.40420437,1.27948798,1.39128957,1.27263837,0.012914799999999893,0.0068496100000001725,0.02896575436482109
0.09,1.5169564,1.28857953,1.5027229,1.28103174,0.01423350000000001,0.007547790000000054,0.03192265381578758
0.1,1.62475013,1.29719549,1.60926084,1.28898345,0.0154892900000001,0.008212040000000087,0.03473810988025198
0.11,1.72778399,1.30533545,1.71110054,1.2964924,0.016683450000000155,0.008843050000000074,0.03741503688551591
0.12,1.82629542,1.31300147,1.80847887,1.30356057,0.01781654999999982,0.009440899999999974,0.039954537909664994
0.13,1.92054958,1.32019818,1.90166012,1.31019226,0.018889460000000025,0.010005920000000001,0.04235847408874781
0.14,2.01082199,1.32693189,1.99091795,1.31639282,0.019904040000000123,0.010539070000000095,0.04463102677016858
0.15,2.09737858,1.33320794,2.07651873,1.3221676,0.020859849999999902,0.011040340000000093,0.04677145264357463
0.16,2.1804689,1.33903117,2.15871055,1.32752126,0.02175835000000026,0.011509910000000012,0.048782511951275385
0.17,2.26031726,1.34440605,2.23771629,1.33245734,0.022600970000000054,0.011948709999999974,0.05066760567237969
0.18,2.33711655,1.34933464,2.31372886,1.33697786,0.023387690000000294,0.012356779999999956,0.052426769993246344
0.19,2.41102941,1.35381764,2.38690977,1.34108312,0.024119639999999887,0.012734519999999971,0.05406239143323524
0.2,2.48219197,1.35785481,2.45739368,1.34477218,0.02479829000000011,0.013082629999999984,0.055577733695217804
0.21,2.55072125,1.36144474,2.52529728,1.34804357,0.02542396999999985,0.013401170000000073,0.056973470983057384
0.22,2.61672542,1.36458728,2.59072755,1.35089609,0.025997869999999867,0.013691190000000075,0.05825269485046909
0.23,2.68030622,1.36728134,2.65378569,1.35332898,0.026520529999999987,0.013952359999999997,0.059416079183134775
0.24,2.74156094,1.36952735,2.71456793,1.35534187,0.026993009999999984,0.014185480000000084,0.06046625849451517
0.25,2.80058247,1.37132581,2.77316619,1.35693489,0.02741628000000018,0.014390920000000085,0.061405314303551645
0.26,2.85746032,1.37267818,2.82966936,1.35810896,0.02779095999999992,0.01456922000000005,0.06223487099446294
0.27,2.91228128,1.37358668,2.88416305,1.3588659,0.028118230000000022,0.014720779999999989,0.0629573962780537
0.28,2.96512469,1.37405441,2.93672613,1.35920819,0.028398560000000295,0.014846220000000132,0.06357431252215646
0.29,3.01605928,1.37408453,2.98742562,1.35913851,0.028633660000000116,0.014946020000000004,0.06408909217977468
0.3,3.06513565,1.37367998,3.03631259,1.35865961,0.028823060000000122,0.015020370000000005,0.0645011111104948
0.31,3.11238826,1.37284443,3.08341939,1.3577744,0.028968869999999924,0.015070029999999957,0.0648148021141437
0.32,3.15782741,1.37158129,3.12875658,1.35648597,0.02907082999999977,0.015095319999999912,0.06503001173674272
0.33,3.20143914,1.36989421,3.1723085,1.35479732,0.029130639999999985,0.015096889999999918,0.06515033323738866
0.34,3.24317851,1.3677862,3.21402956,1.35271107,0.02914894999999973,0.015075130000000048,0.06517727234805226
0.35,3.28297086,1.36526051,3.25384423,1.35022944,0.02912662999999993,0.015031070000000035,0.06511330554575792
0.36,3.32071575,1.36231908,3.29165167,1.34735466,0.02906408000000038,0.01496442000000009,0.06495886643834342
0.37,3.35629591,1.35896594,3.32733332,1.34408947,0.0289625899999999,0.014876470000000142,0.06471738569722668
0.38,3.38958584,1.35520475,3.36076295,1.34043741,0.028822890000000267,0.014767339999999907,0.06439022959298059
0.39,3.42046557,1.35104065,3.39182046,1.33640322,0.02864511000000025,0.014637430000000062,0.06397795374567503
0.4,3.44884208,1.34648137,3.42041095,1.33199353,0.02843112999999997,0.014487839999999919,0.063484838401018
0.41,3.474668,1.34153676,3.44648711,1.32721794,0.028180889999999792,0.014318820000000176,0.06291094965934232
0.42,3.49796509,1.33622084,3.47006959,1.32208987,0.027895500000000073,0.014130970000000076,0.06225872318967057
0.43,3.51883611,1.33055183,3.4912605,1.31662703,0.027575609999999973,0.01392480000000007,0.06152968723216305
0.44,3.53746954,1.32455218,3.51024758,1.31085128,0.02722195999999988,0.013700899999999905,0.06072559260181112
0.45,3.55413202,1.318248,3.52729708,1.30478829,0.026834940000000085,0.013459710000000014,0.059847422864812684
0.46,3.56914516,1.31166831,3.54273027,1.29846663,0.026414890000000302,0.013201679999999882,0.05889606766391441
0.47,3.5828391,1.30484354,3.55687644,1.29191598,0.02596266000000025,0.01292756000000006,0.05787357382679379
0.48,3.59547721,1.29780159,3.56999884,1.28516414,0.025478370000000083,0.012637449999999939,0.05678009083910981
0.49,3.60715968,1.29056491,3.58219733,1.27823312,0.024962350000000022,0.012331790000000176,0.05561643352576013
0.5,3.61771102,1.2831458,3.59329654,1.27113474,0.02441448000000035,0.012011060000000073,0.054382632616054014
0.51,3.6265648,1.27554185,3.60273006,1.26386635,0.0238347400000003,0.01167549999999995,0.05307866598062443
0.52,3.63265707,1.26773188,3.60943413,1.25640696,0.023222940000000136,0.01132491999999985,0.05170380731038301
0.53,3.63435208,1.25967436,3.61177388,1.24871463,0.022578200000000326,0.010959729999999945,0.0502566026715547
0.54,3.62943618,1.25130606,3.60753671,1.24072642,0.0218994699999997,0.010579640000000001,0.0487346496005015
0.55,3.61521694,1.24254659,3.59403148,1.23236239,0.02118545999999988,0.010184199999999866,0.04713494958225698
0.56,3.588758,1.23330799,3.56832386,1.22353478,0.02043413999999988,0.009773209999999866,0.045453361380819894
0.57,3.54726581,1.22350866,3.52762217,1.21416292,0.019643639999999962,0.009345740000000102,0.043685362816960775
0.58,3.4886193,1.21309461,3.46980875,1.20419343,0.01881054999999998,0.008901180000000064,0.041823890453672394
0.59,3.41201889,1.2020625,3.39408728,1.19362452,0.01793161000000021,0.008437980000000067,0.039861290712814454
0.6,3.31868359,1.19048653,3.30168208,1.18253196,0.017001510000000053,0.007954570000000105,0.03778612483477058
0.61,3.21249909,1.17854229,3.19648295,1.17109261,0.016016140000000068,0.007449679999999903,0.03558933528661134
0.62,3.10046336,1.16652067,3.08549497,1.15960036,0.014968389999999943,0.00692030999999993,0.03325485705938799
0.63,2.99279472,1.15483298,2.97894429,1.14846898,0.013850430000000191,0.006363999999999814,0.03076569201725761
0.64,2.90256084,1.14399438,2.88990622,1.13821657,0.012654620000000172,0.005777810000000105,0.02810468760385254
0.65,2.84471837,1.13458605,2.83334771,1.12942787,0.011370659999999866,0.005158180000000012,0.025249193539414527
0.66,2.83449389,1.12719241,2.8245065,1.12269154,0.00998739000000004,0.00450086999999999,0.02217428750393251
0.67,2.88505841,1.1223126,2.87656684,1.11851158,0.008491569999999893,0.003801020000000044,0.018850573464307716
0.68,3.00450708,1.12024759,2.99763709,1.11719349,0.0068699900000002145,0.0030540999999999485,0.015248840412455528
