time,K_elv_angle,K_elbow_flexion,K_cross,K_e_xx,K_e_yy,K_e_zz,K_e_xy,K_e_xz,K_e_yz,lambda_min,lambda_max
0.0,30.33674047880597,23.8820801785314,5.599320813289783,155.45591414771923,11.245343965667203,1187.4548807208637,27.43481386874916,-203.28148424220635,-112.69842468322797,6.202452473762565,160.49880563962387
0.01,30.463609521495204,24.34237612008507,5.208790197779133,155.93984016390826,11.60377009740343,1228.5765174025862,27.990312638383756,-209.55450746253186,-116.5490873873142,6.3658435892137435,161.17776667209796
0.02,29.6132052455968,24.460154023249054,5.208797681980626,155.5915483337492,11.607281197586866,1221.513227472697,28.36657316590116,-214.34834573027325,-116.28514159811216,6.2202847055487025,160.97854482578737
0.03,28.781694622716095,24.57570262355484,5.208859654384406,155.24271884641013,11.610865895955474,1214.6035453558811,28.73230355229882,-219.01196499915812,-116.02776195217675,6.076468758952834,160.77711598341276
0.04,27.97516405104755,24.68820102340996,5.209000630095636,154.89177359989003,11.614496266433846,1207.8925924845087,29.083890944555854,-223.5014324485129,-115.7785781699195,5.935819521303208,160.57045034502067
0.05,27.19754676537473,24.79715400715105,5.209245097334834,154.53613647035775,11.618166873020579,1201.4091402452277,29.41872486883366,-227.78551451528935,-115.53869110939965,5.799419553280823,160.35488379009752
0.06,26.577478845400115,24.908282408387862,5.230913948176518,154.4120715863421,11.625206516054158,1196.1730713599736,29.715903874014288,-231.42031913760908,-115.36399299666094,5.687809803091583,160.3494682993047
0.07,27.76475560338591,25.47972508145263,6.812493531197516,164.47176268513746,11.429455234367953,1159.1055405967836,30.487885001497798,-232.49945155890524,-112.36753256473335,5.579509056154727,170.3217088633507
0.08,29.547738082227355,25.753960206004376,7.411116114200888,169.77574473967965,11.464443622577098,1166.4807971633677,30.510152765546724,-228.4273000119839,-112.73682563416199,5.787986832999404,175.45220152925737
0.09,31.598575827178724,25.870680916595507,7.504544653728118,172.56741355495004,11.613354949998225,1195.894218320207,30.143729393827925,-221.71976217870568,-114.77615994262985,6.153217280785501,178.02755122416278
0.1,33.56251428041892,25.98415224392474,7.58883053392751,175.19670905968465,11.758422163584028,1224.2977303435266,29.781761279092837,-215.19018482439762,-116.75427834777408,6.500719780298873,180.4544114429698
0.11,35.439490282595685,26.092152512244027,7.669193771833707,177.67537286897098,11.89679445688988,1251.3229600548593,29.42074227118448,-208.78785785349652,-118.63844688186106,6.830331486793071,182.7418358390678
0.12,37.2338382760338,26.19470177739976,7.745774302964446,180.00897810019444,12.028677604318757,1277.0146140444226,29.058513523176963,-202.4837420250657,-120.43167975285314,7.143957687244084,184.89369801726912
0.13,38.95042610138841,26.29187693715603,7.818697491372831,182.20419291213875,12.15433993752424,1301.4283992410913,28.6929039837961,-196.24805367914013,-122.13780751449102,7.443427078473648,186.91510577118936
0.14,40.594308213492425,26.38380266043051,7.888099371542107,184.2683704063589,12.274078382011737,1324.6240484045702,28.321766065382377,-190.0509707237904,-123.76098900286918,7.730451505384843,188.8119972829858
0.15,42.17035830988659,26.470608332073343,7.9541151398079695,186.2089783911656,12.388179781721954,1346.6587952435666,27.943005911843354,-183.86348304601577,-125.3052234748741,8.0065800575283,190.59057811535928
0.16,43.68314277750484,26.552420879752002,8.016877507604132,188.03354169545597,12.496908799527088,1367.5856963789206,27.554636253528837,-177.65815963296131,-126.77421450907575,8.273185639847696,192.25726485513536
0.17,45.13675848411996,26.629353229374974,8.076511258130079,189.7496365870778,12.600492275658338,1387.4522957886682,27.15489787408724,-171.41076147315215,-128.17123091700032,8.53142832440637,193.81870053832975
0.18,46.534729262344825,26.70148322248109,8.133116713969896,191.36436679905927,12.69911094423882,1406.2980534406488,26.74216865462717,-165.09940102760643,-129.49895126577613,8.782277764521794,195.2811999787763
0.19,47.88002358698161,26.768865476653318,8.1867737165297,192.88437860441078,12.792905459168178,1424.1545510171582,26.3149493831355,-158.7043214352203,-130.75950444950058,9.026536011602017,196.65074805197693
0.2,49.17512216669972,26.83153599458876,8.23754455781227,194.31597596733968,12.881981716920837,1441.046524853805,25.87185706577997,-152.2077418500928,-131.95454185638863,9.264856937872288,197.93310074638822
0.21,50.42215465774343,26.889508552760287,8.285476820663472,195.66533865556582,12.966415697203836,1456.9939975000952,25.4116230092748,-145.59372270523843,-133.08535349486567,9.497763419034243,199.1339909337354
0.22,51.623082229434566,26.942796705891322,8.330617512301096,196.93903176544745,13.046266501828535,1472.0166042679925,24.933184020742107,-138.84897071053143,-134.15312329215746,9.725650941780904,200.2596473254951
0.23,52.779752145522615,26.99139667668178,8.373002451448524,198.14373852414198,13.121579054530804,1486.1327850591185,24.435548651531587,-131.9612858540042,-135.15890640981354,9.948825716027063,201.3164918626457
0.24,53.8939255642513,27.03531701551373,8.412667413005977,199.28640352343038,13.192397298778634,1499.3604155165615,23.917800469666325,-124.9194459193373,-136.10372728348582,10.167521239871727,202.31127958233728
0.25,54.96728079601774,27.07456288081811,8.449643994079327,200.37417533383214,13.258758454976684,1511.716357468478,23.379075853551278,-117.71300113354026,-136.98852872047902,10.38189842332621,203.2510353654826
0.26,56.001429000815406,27.109144040019395,8.48396373438165,201.4145227525218,13.320695207513133,1523.217297763421,22.8186036407156,-110.33269169554795,-137.81422037702407,10.59204046065952,204.1431774993754
0.27,56.99792546244971,27.139066589421834,8.51565878413478,202.41530351714633,13.378228429238446,1533.8811063237852,22.23578704860621,-102.77142699452587,-138.58169873672446,10.797928878617489,204.9956030677673
0.28,57.958186613265404,27.164340305078817,8.544756446229913,203.38451837327295,13.431372060009794,1543.724751906952,21.630143565798434,-95.0236109986515,-139.2917839289357,10.9994622223249,205.81642821095787
0.29,58.88191411033187,27.182199394067844,8.573399529182257,204.32758893176526,13.478013767825958,1552.5210110001428,20.99885496788748,-87.05882071215815,-139.92251166852571,11.194859016398771,206.61074368319245
0.3,59.77271633918667,27.19818635108077,8.597783919585831,205.25897267413117,13.522202654607176,1560.739061011034,20.346807482448998,-78.92917003745164,-140.5174379517887,11.386813149773044,207.3943621789653
0.31,60.62992460296599,27.20953348016113,8.61965613146561,206.18228592940756,13.561934762771815,1568.1660892132716,19.671218727948684,-70.60636058021232,-141.05589519156288,11.573551012128348,208.17066968005105
0.32,61.453653865335966,27.216231609618234,8.639024974694065,207.10468581173623,13.597137933467305,1574.8046065962924,18.972281198663886,-62.0940526967528,-141.53761647720708,11.754561913050475,208.94726183215306
0.33,62.24180301362435,27.21654137307397,8.658366727248131,208.03519969828073,13.625965766177776,1580.4365678798865,18.249755509795836,-53.38962193565361,-141.942498953257,11.927644779486382,209.73352068497212
0.34,63.00573460459511,27.22236009756611,8.660420724681384,208.96145821761672,13.660413023684328,1586.5470664547213,17.508312352941036,-44.56222596048389,-142.40454143547743,12.103246579383397,210.51862466191767
0.35,63.73383225821383,27.22376985252651,8.659367642379605,209.90192699217076,13.690278582705137,1591.8796708142886,16.744625746425942,-35.566601419625016,-142.81020964399232,12.271556899110434,211.32064867576548
0.36,64.42414484415158,27.22074033281115,8.655225367678518,210.860385082354,13.715360050297795,1596.4102717717403,15.959708810720093,-26.417966739001304,-143.157370919164,12.431713371985293,212.1440317606665
0.37,65.07437916345317,27.2132157171698,8.647962992185871,211.83935923362557,13.7354403238881,1600.1144286155618,15.154829494945368,-17.1350121559208,-143.44380399232594,12.582811416397773,212.99198814111588
0.38,65.68213465890818,27.201133577244143,8.637546136598981,212.8405878798672,13.750299332807684,1602.9677466896403,14.331398787828904,-7.738168622641242,-143.6672671326527,12.72395291611431,213.86693429656057
0.39,66.24502208392703,27.18444846927706,8.623949405809146,213.86523999208333,13.759729647031275,1604.9474144476865,13.49093928615008,1.7509750459915052,-143.8256471864131,12.85427930640438,214.77069033271022
0.4,66.76121996192022,27.16315044781544,8.60717414370969,214.91489216511653,13.763572191501009,1606.0393966827514,12.634938334401623,11.312050843329859,-143.91745817437956,12.973039350048245,215.7054250065693
0.41,67.2297117374454,27.13726212204411,8.58725309638912,215.99196589701614,13.761727368370867,1606.2414295514475,11.764786848309551,20.92691043592405,-143.94202957532295,13.079609177916035,216.674084087471
0.42,67.65073920193629,27.106861222070282,8.564272399572975,217.10067425941185,13.754182925929717,1605.5698050898466,10.881733193722283,30.580848233785858,-143.89994625857298,13.173524013389125,217.68133317195245
0.43,68.02602005734875,27.07209300898009,8.538410421130708,218.2478798317348,13.74102040577269,1604.059060977221,9.986733408732203,40.2647094205164,-143.7930643899961,13.254493275057124,218.73440696245035
0.44,68.3588413635837,27.033165514826038,8.509799434646906,219.4430642391424,13.722462468615872,1601.7682867116423,9.080273324747205,49.9766282071962,-143.62507282811288,13.32244734691058,219.84307936084767
0.45,68.65391513584915,26.990348390707453,8.47871976463355,220.69923759183231,13.698798280345063,1598.7695357391744,8.162483802995228,59.7211747027074,-143.40054948971218,13.377432460710116,221.02060341146728
0.46,68.91694099863608,26.943964873066882,8.445471273130709,222.03190516790286,13.67039470767584,1595.1476056129097,7.233197107353492,69.50787212031945,-143.12504406189882,13.419598667540328,222.28270120803836
