time,perturb,p_null,a_BIClong,a_BICshort,a_TRIlong,a_TRIlat,a_TRImed,a_BRA,a_BRD,a_DELT1,a_DELT2,a_DELT3,a_ECRL,a_ECRB,a_FCR,a_FCU,K_e_xx,K_e_yy,K_e_zz,K_e_xy,K_e_xz,K_e_yz,K_min,K_max,D_e_xx,D_e_yy,D_e_zz,D_e_xy,D_e_xz,D_e_yz,D_min,D_max,K_elv_angle,D_elv_angle,K_shoulder_elv,D_shoulder_elv,K_shoulder_rot,D_shoulder_rot,K_elbow_flexion,D_elbow_flexion,K_pro_sup,D_pro_sup,K_deviation,D_deviation,K_flexion,D_flexion,K_cross
0.0,False,0.02,0.02000000000000003,0.02,0.15384833320751556,0.02,0.02,0.046807238292111475,0.04049819404692302,0.048591442547822154,0.1614092618825957,0.15188511876924232,0.02,0.08878720434139865,0.020000000000000028,0.06398609143084684,5.878427451464615,4.6972687543464575,40.71547525629823,2.3950164121434128,-6.105914731304317,-8.240990692267225,2.821091612819665,7.7546045929914085,0.2369457326587705,0.254720046285974,1.6720542617684415,0.08665430874392709,-0.26430518176899265,-0.45487498338310667,0.1587240450298164,0.3329417339149281,1.7313673392854527,0.05653700931788755,0.8278809550539793,0.044104633024735336,0.032059706315379,0.001718096781571298,0.8907538996890195,0.03632498299754558,0.022791484837502936,0.0007515527253371325,0.2762665419686383,0.011966275566790186,0.17550329310272395,0.0071234758929862195,0.47774664595253363
0.01,False,0.020000000000000007,0.02000000000000004,0.020000000000000028,0.26006844182629657,0.020000000000000018,0.020000000000000007,0.06830628090765103,0.05663623662733119,0.07178247355842472,0.2737025166405568,0.25657123460783504,0.020000000000000018,0.14363271862616495,0.02000000000000004,0.09905208232863376,7.962385422234156,7.410218097303589,58.68168529632619,3.187121048930231,-7.3701506084177915,-12.493157719945282,4.487245216158808,10.885358303378936,0.3351841166074783,0.4135114446800015,2.4899115367307085,0.11849404382904019,-0.34636367387966616,-0.7200943279921478,0.24954941926145385,0.499146142026026,2.571400032859291,0.08457082116923452,1.330678839040939,0.07241143528614685,0.052349090039794224,0.0028482878743410845,1.1863944881541668,0.050694980608393156,0.024103596664193913,0.0007998600454778321,0.4101682270651621,0.017931282262705166,0.25922236114770114,0.010565649312920812,0.7097256310125749
0.02,False,0.020000000000000007,0.020000000000000056,0.020000000000000025,0.3441960704042597,0.020000000000000014,0.020000000000000007,0.0855529961533229,0.0692948881627173,0.09064994704779547,0.36271077493934767,0.3395103948581351,0.02000000000000002,0.1873255014592602,0.02000000000000003,0.1269824695220324,9.62290985673441,9.56560903400558,72.9966226896081,3.8215035001417905,-8.34682794166938,-15.843948209193696,5.772648548422569,13.415870342317422,0.41330506539505224,0.539513453426939,3.1404243402558505,0.14391374586650452,-0.4105990218251485,-0.9296901275520624,0.3192682222764181,0.6335502965455732,3.2506192217115193,0.10720018266711309,1.7317045588976503,0.09492349803394493,0.06847618166206314,0.003745190228233169,1.4208038273250347,0.06208658064550303,0.025146570855228312,0.0008382702188702089,0.5168266527580866,0.022682644622979517,0.32591046585116024,0.013307550735595131,0.8993813805220346
0.03,False,0.020000000000000014,0.020000000000000046,0.02000000000000009,0.4106711601572388,0.020000000000000014,0.02000000000000002,0.09939361582534541,0.07917936567463264,0.10605250715445225,0.43310683446538245,0.405071682468427,0.020000000000000025,0.22209914294169533,0.02000000000000004,0.14920661142406705,10.944647164343221,11.275018467310296,84.39211367813112,4.329302412260151,-9.092938112832806,-18.474271305635668,6.777380199091336,15.442285432562182,0.4753316269177512,0.6392899539334314,3.657155015971836,0.16417555885795604,-0.4605485935519687,-1.094819528385798,0.3738054843013068,0.7408160965498758,3.801030853124613,0.12550186571626618,2.051342419301695,0.11280256601730128,0.08127487562207573,0.004455610178634296,1.6062915305020418,0.071098472470693,0.025974558680934928,0.000868771713921194,0.6016967791755048,0.02646346171119153,0.3789778773989635,0.015489443817468519,1.0550926979378712
0.04,False,0.02000000000000001,0.020000000000000042,0.020000000000000094,0.4630535644588458,0.02000000000000001,0.02000000000000003,0.11050594330594884,0.08685425159360866,0.11867506108299876,0.4886344319926554,0.456757629141364,0.020000000000000042,0.249742365547429,0.020000000000000042,0.16686936378915845,11.995322033964765,12.627755073286352,93.45399562174649,4.7353319075580975,-9.653978230573241,-20.529086106892724,7.565660219529307,17.05741688772181,0.5244835849647734,0.7180958925461073,4.06698199425599,0.18028446606423176,-0.49903823624436283,-1.2244212773054426,0.41665855805267604,0.8259209194582047,4.2481908870032825,0.14033601414446997,2.305910622414196,0.12697903364605279,0.09141300496978697,0.005017052775944135,1.7527208020656337,0.07821048021762111,0.026630947560571605,0.000892957450572971,0.6691471601785102,0.029468439001127823,0.42115566041064245,0.017223667239179365,1.1835353551494845
0.05,False,0.020000000000000028,0.020000000000000046,0.020000000000000153,0.5041967998228527,0.02000000000000003,0.020000000000000028,0.11943258458688719,0.09277163026183391,0.1290643165161798,0.532291924825196,0.49737534458667,0.020000000000000066,0.2716874050058628,0.02000000000000004,0.1808875681891171,12.829121251670049,13.695290952916785,100.65121272993295,5.059375646811044,-10.066244153664714,-22.12449569144344,8.184328157385316,18.34008404720152,0.56333768334411,0.7801373510518163,4.391428064383659,0.19304107250954078,-0.5283245614805269,-1.3256542640084767,0.4503433446116534,0.8931316897842729,4.612514240773901,0.15238999094698788,2.5084710366603162,0.13819786334031206,0.0994253368833667,0.005459564464443219,1.8679933184170592,0.08380708711137505,0.02715050054039167,0.0009121034091413739,0.7226757764471812,0.03185349821084544,0.45463061019531503,0.018600180435872447,1.290033508583569
0.06,False,0.020000000000000025,0.020000000000000046,0.020000000000000143,0.5363874243433886,0.020000000000000028,0.020000000000000025,0.1266078684828793,0.09729331155781931,0.137657100266867,0.5664795681156429,0.5291737920891314,0.020000000000000077,0.2890807036990798,0.020000000000000042,0.19199524670572335,13.48939711865712,14.534806715103953,106.35908966852654,5.317211506139725,-10.358644343319536,-23.35342752454583,8.669260116198949,19.354943717562122,0.5939557071765843,0.8287796705345744,4.647723787545297,0.20308330484273762,-0.5502078939714091,-1.4042487660399712,0.47678635509767564,0.945949022613483,4.9103190925737845,0.16221338092440998,2.6694776710756862,0.14705537848326616,0.10573999393902483,0.0058072098347679655,1.9584373264278,0.08819628066177229,0.027561064650210163,0.0009272314186603361,0.765082666987819,0.033743465289539594,0.48115318237599786,0.019691000157580574,1.3788391724260256
0.07,False,0.02000000000000002,0.020000000000000066,0.020000000000000115,0.5614570288094123,0.02000000000000003,0.02000000000000002,0.13237909065117895,0.10070901184915945,0.14480281453565785,0.5931178156950634,0.5539540618357286,0.020000000000000063,0.30283987532030276,0.020000000000000042,0.20078002245476928,14.01083300850371,15.192032944600436,110.87799651763754,5.521426016188104,-10.554160874608428,-24.290204886993273,9.0485100008124,20.154355952291745,0.6179871250752214,0.8667143317875812,4.849660853357998,0.21091949189628156,-0.5661228720899528,-1.4647887454389712,0.49749702128870993,0.9872044355740925,5.154657376494736,0.17024585486423763,2.7972961140439256,0.15402877297927292,0.11069963088371122,0.0060792565889068555,2.0291198474155054,0.09162470746537177,0.027884950988144346,0.0009391598606741191,0.7986090339808011,0.03523826614092497,0.5021244576004457,0.020553775640763158,1.4533530850023568
0.08,False,0.020000000000000018,0.020000000000000063,0.020000000000000094,0.5808723362838629,0.020000000000000025,0.020000000000000018,0.13702397272938266,0.10325052579447047,0.15078122569919086,0.6137424461967096,0.5731581013967447,0.020000000000000052,0.3136990305042225,0.02000000000000005,0.20771210912787502,14.421174479216594,15.703528482396976,114.4482744973895,5.682059240227588,-10.671014680145069,-24.994221549137894,9.344230709362385,20.780472252251187,0.6367512726499216,0.8960928888916148,5.008275682417275,0.21695456104821131,-0.5772108261836949,-1.5109387360262745,0.5136696326355712,1.0191745289059653,5.355975070639187,0.17683934734317555,2.898619868289063,0.15949979927319383,0.11457843081269505,0.006291127659499882,2.0840966833238332,0.09428982774882841,0.02814002966479966,0.0009485439194758251,0.825047916016444,0.03641785721208678,0.5186653394827979,0.02123463390888003,1.5162990286033378
0.09,False,0.020000000000000014,0.020000000000000115,0.020000000000000077,0.5958076960961314,0.020000000000000025,0.020000000000000014,0.14076433166497943,0.10510345585944539,0.15581657715495012,0.6295810256535292,0.5879400693128138,0.02000000000000006,0.32224557509109897,0.020000000000000056,0.21316784788533255,14.742619000671022,16.09850910188484,117.26222978381843,5.807119849997256,-10.723612502604853,-25.51290522791283,9.574005196372374,21.267122906183488,0.6513033549153654,0.9186345058383503,5.132398993368984,0.22151094806667554,-0.5843782194431405,-1.54562650900876,0.5262536695651899,1.0436841911885257,5.522637687602843,0.18227572518697988,2.978804093494501,0.163773781872127,0.11759574706021074,0.006455166233417133,2.1266140120314763,0.09634971045791743,0.028340621311148482,0.0009559083400931704,0.8458340616320652,0.0373462294071842,0.531672736182636,0.021770489909365778,1.5698616775747483
